timestamp_iso,attempt,elapsed_s,start_x,start_y,finish_x,finish_y,start_t,finish_t,status
2025-10-19T11:12:09,1,202.317,0.065,5.060,-0.209,0.443,1760861327.406,1760861529.724,finish
2025-10-19T14:26:38,2,401.764,0.065,5.060,-0.452,0.453,1760872797.170,1760873198.934,finish
2025-10-19T22:19:03,3,523.953,0.065,5.060,-0.454,-0.063,1760901019.595,1760901543.548,finish
2025-10-19T22:35:54,4,416.429,0.065,5.060,0.100,0.451,1760902138.130,1760902554.559,finish
2025-10-20T02:01:57,5,567.484,0.065,5.060,-0.454,-0.048,1760914349.752,1760914917.236,finish
2025-10-20T02:17:06,6,691.621,0.065,5.060,-0.455,-0.052,1760915134.691,1760915826.312,finish
2025-10-20T09:48:54,7,337.288,0.065,5.060,-0.453,-0.048,1760942596.996,1760942934.284,finish
2025-10-20T10:15:02,8,481.782,0.065,5.060,-0.454,-0.051,1760944021.173,1760944502.955,finish
2025-10-20T11:03:38,9,569.007,0.065,5.060,-0.454,-0.050,1760946849.475,1760947418.482,finish
